pitcher_name,country,game_date,pitch_type,pitch_name,release_speed,release_spin_rate,pfx_x,pfx_z,plate_x,plate_z,p_throws,stand,balls,strikes,description
Zack Wheeler,USA,2025-08-15,ST,Sweeper,83.0,2761.0,1.26,0.0,0.3897543374841794,2.188423944015959,R,L,0,0,foul
Zack Wheeler,USA,2025-08-15,FF,4-Seam Fastball,96.4,2434.0,-0.85,1.3,-0.335837494592349,3.3579802679999915,R,L,3,2,swinging_strike
Zack Wheeler,USA,2025-08-15,CU,Curveball,80.7,2862.0,1.07,-0.94,-0.3399440365006084,1.377568426475865,R,L,3,2,foul
Zack Wheeler,USA,2025-08-15,ST,Sweeper,83.1,2715.0,1.22,0.22,0.4092037133742686,2.989546903230881,R,L,3,1,called_strike
Zack Wheeler,USA,2025-08-15,FF,4-Seam Fastball,96.1,2461.0,-0.94,1.04,-0.9085840409472772,3.750171773045316,R,L,2,1,ball
Zack Wheeler,USA,2025-08-15,FC,Cutter,90.3,2540.0,0.26,0.61,0.5567853684556663,4.008511997059454,R,L,1,1,ball
Zack Wheeler,USA,2025-08-15,ST,Sweeper,82.5,2742.0,1.37,0.29,0.1087596667747068,2.407482266761641,R,L,1,0,swinging_strike
Zack Wheeler,USA,2025-08-15,FC,Cutter,92.7,2616.0,-0.22,0.87,0.029218822446796,3.782750129224269,R,L,0,0,ball
Zack Wheeler,USA,2025-08-15,ST,Sweeper,82.5,2742.0,1.36,0.21,-0.0523507158326339,2.445807018782475,R,L,1,2,called_strike
Zack Wheeler,USA,2025-08-15,FF,4-Seam Fastball,95.6,2430.0,-1.01,1.1,0.6413774821094456,3.835470415939836,R,L,1,1,foul
Zack Wheeler,USA,2025-08-15,FS,Split-Finger,85.6,1513.0,-1.07,-0.1,1.5006010142555832,1.6463352401551772,R,L,0,1,ball
Zack Wheeler,USA,2025-08-15,CU,Curveball,80.2,2703.0,0.9,-0.84,0.6248816079563496,2.6216452967801063,R,L,0,0,called_strike
Zack Wheeler,USA,2025-08-15,CU,Curveball,80.6,2846.0,1.0,-0.84,0.6573169272606545,0.6629015934935696,R,L,2,2,swinging_strike_blocked
Zack Wheeler,USA,2025-08-15,FS,Split-Finger,86.3,1345.0,-0.88,-0.2,-1.0627190068146928,2.4180275276524776,R,L,1,2,ball
Zack Wheeler,USA,2025-08-15,FF,4-Seam Fastball,95.5,2488.0,-1.07,1.05,-1.1774622280489662,4.29434343499258,R,L,0,2,ball
Zack Wheeler,USA,2025-08-15,CU,Curveball,80.0,2824.0,1.42,-0.83,0.1589259093694277,1.124509016662365,R,L,0,2,foul
Zack Wheeler,USA,2025-08-15,CU,Curveball,81.5,2708.0,0.96,-0.64,1.0269869572847097,1.3355898082400852,R,L,0,1,swinging_strike
Zack Wheeler,USA,2025-08-15,FF,4-Seam Fastball,93.9,2346.0,-0.81,0.97,-0.1761568577548313,2.4776669410037946,R,L,0,0,foul
Zack Wheeler,USA,2025-08-15,SI,Sinker,94.5,2298.0,-1.3,0.93,-0.3768074282886506,3.192535678593666,R,R,1,0,hit_into_play
Zack Wheeler,USA,2025-08-15,ST,Sweeper,83.4,2725.0,1.23,0.18,3.173364259009713,0.9575835501448084,R,R,0,0,ball
Zack Wheeler,USA,2025-08-15,SI,Sinker,95.3,2249.0,-1.51,0.65,-0.0735355859391551,2.848915531012896,R,R,1,2,hit_into_play
Zack Wheeler,USA,2025-08-15,ST,Sweeper,83.3,2782.0,1.63,0.02,1.7316272296829829,1.0417843454032063,R,R,0,2,ball
Zack Wheeler,USA,2025-08-15,ST,Sweeper,82.2,2711.0,1.43,-0.26,1.2462690358817614,1.944350564859328,R,R,0,1,swinging_strike
Zack Wheeler,USA,2025-08-15,FF,4-Seam Fastball,96.0,2491.0,-1.01,1.25,-0.0329333373766704,2.619565008510113,R,R,0,0,called_strike
Zack Wheeler,USA,2025-08-15,ST,Sweeper,82.1,2694.0,1.54,0.32,0.2329569100334299,2.6507241923858125,R,L,0,0,hit_into_play
Zack Wheeler,USA,2025-08-15,CU,Curveball,80.7,3004.0,1.38,-0.82,-0.8115665658068609,2.737560254427332,R,L,1,0,hit_into_play
Zack Wheeler,USA,2025-08-15,FF,4-Seam Fastball,96.0,2435.0,-0.96,1.23,-1.8817362853466528,1.869061635320504,R,L,0,0,ball
Zack Wheeler,USA,2025-08-15,FF,4-Seam Fastball,95.9,2415.0,-1.03,1.25,-0.4019879286399445,2.92230056731281,R,R,0,2,hit_into_play
Zack Wheeler,USA,2025-08-15,ST,Sweeper,83.5,2782.0,1.48,0.22,0.5058655567625108,2.3727516214517124,R,R,0,1,swinging_strike
Zack Wheeler,USA,2025-08-15,ST,Sweeper,82.9,2679.0,1.36,-0.07,0.3532844210231298,1.2026063546119032,R,R,0,0,swinging_strike
Zack Wheeler,USA,2025-08-15,FS,Split-Finger,87.0,1446.0,-0.96,0.24,-0.2569666054092451,2.6594053687453245,R,L,1,1,hit_into_play
Zack Wheeler,USA,2025-08-15,ST,Sweeper,84.0,2804.0,0.75,0.53,0.7379865630059121,2.2368643824970964,R,L,1,0,foul
Zack Wheeler,USA,2025-08-15,FF,4-Seam Fastball,96.4,2444.0,-1.04,1.2,1.265342225977298,2.8168883597450067,R,L,0,0,ball
Zack Wheeler,USA,2025-08-15,FF,4-Seam Fastball,96.4,2557.0,-1.08,1.15,0.1270173408106529,3.469857215987672,R,L,2,2,hit_into_play
Zack Wheeler,USA,2025-08-15,FF,4-Seam Fastball,95.7,2486.0,-1.02,1.15,-0.008103238603957,3.382413058090316,R,L,2,1,foul
Zack Wheeler,USA,2025-08-15,FC,Cutter,92.4,2578.0,-0.12,0.68,1.8262840405943488,2.2375123858187083,R,L,1,1,ball
Zack Wheeler,USA,2025-08-15,FC,Cutter,90.9,2535.0,-0.01,0.64,1.7011388760104622,2.1088785076431176,R,L,0,1,ball
Zack Wheeler,USA,2025-08-15,FF,4-Seam Fastball,95.8,2485.0,-1.23,1.02,0.1876293070261612,2.9629583138432363,R,L,0,0,called_strike
Zack Wheeler,USA,2025-08-15,CU,Curveball,81.7,2891.0,1.17,-0.84,0.234343173735794,1.3260435096767609,R,L,3,2,ball
Zack Wheeler,USA,2025-08-15,CU,Curveball,81.8,2858.0,0.89,-0.79,0.077381184775308,2.5912326195176503,R,L,3,2,foul
Zack Wheeler,USA,2025-08-15,FF,4-Seam Fastball,97.1,2573.0,-1.05,1.22,0.2795953225961691,2.202520807397804,R,L,3,2,foul
Zack Wheeler,USA,2025-08-15,FF,4-Seam Fastball,96.6,2491.0,-0.87,1.34,0.7552954000669729,2.0435146199058782,R,L,2,2,ball
Zack Wheeler,USA,2025-08-15,FF,4-Seam Fastball,96.5,2567.0,-1.05,1.32,0.6101539647524723,2.825607538402039,R,L,2,1,called_strike
Zack Wheeler,USA,2025-08-15,ST,Sweeper,84.4,2667.0,0.87,0.17,1.857855305061895,2.0407693221653966,R,L,1,1,ball
Zack Wheeler,USA,2025-08-15,FF,4-Seam Fastball,95.9,2403.0,-0.87,1.18,1.5585330773632018,3.098625391717211,R,L,0,1,ball
Zack Wheeler,USA,2025-08-15,FF,4-Seam Fastball,95.7,2425.0,-0.96,1.27,-0.0990652133097864,3.5554127697254208,R,L,0,0,foul
Zack Wheeler,USA,2025-08-10,FS,Split-Finger,84.8,1367.0,-0.95,0.09,0.6516823029203948,1.1017439503621675,R,R,0,2,hit_into_play
Zack Wheeler,USA,2025-08-10,FS,Split-Finger,85.2,1408.0,-1.12,-0.08,-0.392645753108878,1.04131064862989,R,R,0,1,swinging_strike
Zack Wheeler,USA,2025-08-10,FF,4-Seam Fastball,93.3,2341.0,-1.0,1.14,0.1022119332067901,3.39418811938732,R,R,0,0,called_strike
Zack Wheeler,USA,2025-08-10,FF,4-Seam Fastball,93.9,2431.0,-1.07,1.21,0.0057171384104903,1.9727524112578243,R,L,0,0,hit_into_play
Zack Wheeler,USA,2025-08-10,FF,4-Seam Fastball,93.4,2459.0,-1.08,1.14,0.5280959567005157,2.134040203564781,R,L,0,0,hit_into_play
Zack Wheeler,USA,2025-08-10,FS,Split-Finger,85.0,1496.0,-0.94,-0.29,-0.2651225609214954,1.3536711982470595,R,R,2,2,swinging_strike
Zack Wheeler,USA,2025-08-10,ST,Sweeper,80.8,2594.0,0.82,-0.13,0.6593157297745297,1.5225010477456604,R,R,2,1,foul
Zack Wheeler,USA,2025-08-10,SI,Sinker,93.8,2235.0,-1.47,0.28,-0.6590852311189439,2.874429590456997,R,R,2,0,called_strike
Zack Wheeler,USA,2025-08-10,SI,Sinker,93.3,2365.0,-1.62,0.58,0.8283125175056572,1.2875429684770123,R,R,1,0,blocked_ball
Zack Wheeler,USA,2025-08-10,SI,Sinker,92.9,2318.0,-1.62,0.61,-0.9155017240592548,1.4301509838681512,R,R,0,0,ball
Zack Wheeler,USA,2025-08-10,FS,Split-Finger,84.0,1552.0,-1.06,-0.16,-1.244760190748317,0.9968026579590212,R,R,0,2,swinging_strike
Zack Wheeler,USA,2025-08-10,FS,Split-Finger,83.8,1440.0,-0.92,-0.11,-0.810240530884092,1.1496978456071698,R,R,0,1,swinging_strike
Zack Wheeler,USA,2025-08-10,SI,Sinker,93.1,2208.0,-1.37,0.54,-0.635844602605766,2.623969425440163,R,R,0,0,foul
